english,nepali
"The actress is sitting in front of the camera, acting according to the exact mood of the song.",नायिका क्यामेराको अगाडि बसेर गीतको ठीक भावना अनुसार अभिनय गरिरहेकी छिन्।
The artists are on top of a glacier (a handsome boy and a beautiful girl).,कलाकारहरू ग्लेसियरमाथि (एउटा ह्यान्डसम केटा र राम्री केटी)
"The background area looks very dark, and the people in the back appear slightly blurry.","पछाडिपट्टिको ठाउँ एकदम अँध्यारो देखिन्छ, र पछाडिका मानिसहरू अलि धमिलो रूपमा देखिएका छन्।"
The background is blurred.,पृष्ठभूमि धमिलो छ।
The background is full of greenery.,पृष्ठभूमि हरियालीले भरिएको छ।
"The background is very blurry in the beginning and ending shots, but the middle shot shows a complete hilly landscape with an open green lawn and a green hill in the background.","सुरु र अन्तिमको शटमा पृष्ठभूमि एकदम धमिलो देखिन्छ भने बीचको शटमा पुरै पहाडी भू-भाग, जहाँ खुला हरियो चौर र पछाडिपट्टि हरियो डाँडा देख्न सकिन्छ।"
"The background is very blurry in the beginning and ending shots, but the middle shot shows a complete hilly landscape with an open green lawn and a green hill in the background.","सुरु र अन्तिमको शटमा पृष्ठभूमि एकदम धमिलो देखिन्छ भने बीचको शटमा पुरै पहाडी भू-भाग, जहाँ खुल्ला हरियो चौर, र पछाडिपट्टि हरियो डाँडा देख्न सकिन्छ।"
"The boy and girl are dancing, and the girl is hugging him from behind.",केटा र केटी नाचिरहेका छन् अनि केटीले पछाडिबाट अँगालो मारिरहेकी छिन्।
The boy and girl are dancing.,केटा र केटी नाचिरहेका छन्।
The boy and girl are hugging.,केटा र केटीले अँगालो हालेका छन्।
The boy and girl are running.,केटा र केटी कुदिरहेका छन्।
The boy and girl are walking together.,केटा र केटी सँगै हिँडिरहेका छन्।
The boy and girl dancing while holding hands,केटा र केटीले हात समातेर नाचेको
The boy and girl running near the riverbank holding hands,केटा र केटी खोला किनार नजिक दौडिरहेको र एक अर्काको हात समातेको
"The boy holds the girl's hand, and they are happily running after each other on the grassy green hill.",केटाले केटीको हात समात्दै खुसी भएर त्यो हरियो डाँडाको घाँसमाथि एकअर्काको पछाडि दौडिरहेका छन्।
"The boy in the middle holds a microphone and sings, looking up at the girls standing on the balcony.","बीचको केटाले माइक समातेर गीत गाउँदै, माथि कौसीमा उभिएका केटीहरूलाई हेरिरहेको छ।"
The boy in the middle is waving his hands and singing.,बीचको केटा हात हल्लाउँदै गीत गाउँदैछ
The boy is dancing,केटा नाचिरहेको छ
The boy is dancing and pointing/showing to the girl.,केटा नाचिरहेको छ अनि केटीलाई देखाइरहेको छ।
The boy is holding the girl's hand.,केटाले केटीको हात समातिरहेको छ।
"The boy is looking towards the girl, spreading his arms as if dancing, and the people around them are also enjoying themselves.","केटाले केटीतिर हेर्दै हात फैलाएर नाचेको जस्तो गरिरहेको छ, वरिपरिका मानिसहरू पनि रमाइरहेका छन्।"
"The boy is making eye contact, smiling, and flirting.",केटा आँखा आँखा मिलाई मुस्कान दिँदै मस्किएको छ
The boy is reaching for his black cap while looking ahead.,केटाले आफ्नो हात त्यो कालो टोपीतिर लग्दै गरेको छ अनि उसले अगाडि हेर्दैछ
The boy is talking,केटा बोलिरहेको छ
The boy is turning the pages of the book.,केटाले किताबको पाना पल्टाएको छ।
The boy is walking,केटा हिँडिरहेको छ
The boy is walking towards the girl.,केटा केटीतिर हिँडेर गइरहेको छ।
The boy is walking.,केटा हिँडिरहेको छ।
The boy stands up and places his hand on the girl's shoulder.,केटा उठेको अनि केटीको काँधमा हात राखेको
"The boy, with open arms, is singing in a highly energetic and free-style manner.","केटाले हात फुकाएर, एकदम ऊर्जावान् र फ्रि-स्टाइलमा गीत गाउँदै"
The boys are dancing.,केटाहरू नाचिरहेका छन्।
The boys are singing.,केटाहरू गीत गाइरहेका छन्।
"The boys are sitting in the courtyard, having a good time.",केटाहरू आँगनमा बसेर रमाइलो गर्दै
"The boys are sitting, playing madal, singing, and having fun.",केटाहरू बसेर मादल बजाउँदै गीत गाउँदै रमाइलो गरिरहेका छन्।
"The boys are wearing daura suruwal and red dhaka topi, while one boy is wearing a black cap.",केटाहरूले दौरा सुरुवाल अनि रातो ढाका टोपी लगाएका छन् भने एउटा केटाले कालो टोपी लगाएको छ।
The boys have bows in their hands.,केटाहरूको हातमा धनुष छ
The curly-haired boy in the middle is wearing a white kurta and a white shawl.,बीचको घुम्रो कपाल भएको केटाले सेतो कुर्ता र सेतो सल लगाएको छ
The door of the house is open at night.,रातिको बेला घरको ढोका खुला छ
"The edge of a small pond with large green lotus leaves floating, and a red-roofed pagoda-style temple and modern building",ठूला हरिया कमलका पातहरू तैरिरहेको एउटा सानो पोखरीको किनार र रातो छानो भएको प्यागोडा बनोटको मन्दिर र आधुनिक भवन
The girl and boy are walking.,केटी र केटा हिँडिरहेका छन्।
"The girl and boy on the left and right raise pestles to pound paddy in the mortar, while the two in the middle tease each other.",दायाँ र बायाँतिरका केटी र केटाले मुसल उठाएर ओखलीमा धान कुट्ने र बीचका दुई जना जिस्किँदै छन्।
The girl dancing,केटी नाचिरहेकी
The girl holding the camera,केटीले क्यामेरा समातेको
"The girl holds the boy's hand, pulls him, and both are seen dancing.","केटीले केटाको हात समातेर, तानेर दुवै जना नाचिरहेको देखिन्छ।"
"The girl holds the small black baby goat in her lap, hugging and petting it.","केटीले त्यो सानो कालो बाख्राको पाठालाई आफ्नो काखमा समात्दै, अँगालो हालेर सुम्सुम्याउँदै"
The girl is dancing.,केटी नाचिरहेकी छिन्
The girl is placing her hand on the boy's shoulder.,केटीले केटाको काँधमा हात राखिरहेकी छिन्।
The girl is running.,केटी कुदिरहेकी छिन्।
The girl is seen looking calmly and emotionally towards the sunlight streaming from above.,केटी एकदम शान्त र भावुक भएर माथि घामको उज्यालो आइरहेको पट्टी हेरिरहेकी देखिन्छिन्।
The girl is standing in a sky-blue modern dress holding a green watering can. There are colorful flowers all around.,केटीले आकाशी नीलो आधुनिक पोसाकमा हरियो पानी हाल्ने भाँडो समातेर उभिएकी छिन्। चारैतिर रङ्गीचङ्गी फूलहरू छन्।
The girl is talking.,केटी बोलिरहेकी छिन्।
The girl is walking.,केटी हिँडिरहेकी छिन्
The girl is wearing a casual modern dress like a green sleeveless top and a colorful skirt. She is also wearing a beaded cultural necklace.,केटीले हरियो रङको स्लिभलेस टप र रङ्गीन स्कर्ट जस्तो क्याजुअल आधुनिक पोसाक लगाएकी छिन्। उनले गेडागुडी भएको सांस्कृतिक माला पनि लगाएकी छिन्।
"The girl is wearing a modern lehenga-style dress in a sky blue and white combination. Around her are beautiful white and colorful flower plants, and butterflies can also be seen swarming.",केटीले आकाशी नीलो र सेतो संयोजनको आधुनिक लेहङ्गा-शैलीको पोसाक लगाएकी छिन्। उनका वरिपरि राम्रा सेता र रंगीन फूलका बोटहरू छन् र पुतली पनि झुम्मिएको देखिन्छ।
"The girl is wearing a red saree and blouse, and the boy is wearing a coat and pants.",केटीले रातो साडी र ब्लाउज अनि केटाले कोट प्यान्ट लगाएको
"The girl plays the piano, while the boys prepare to play the guitar and drums.",केटी पियानो बजाउँदै अनि केटाहरू गिटार र ड्रम बजाउन तयार हुँदैछन्
The girl taking a photo with the camera,केटीले क्यामेराबाट फोटो खिचेको
The girl wearing a green saree looks very beautiful.,हरियो रङको साडी लगाएकी केटी साह्रै राम्री देखिएकी
"The girl wearing a red saree, earrings, and a tika on her forehead looks extremely beautiful.","रातो साडी, कानमा झुम्का अनि निधारमा टीका लगाएकी केटी अति नै सुन्दर देखिएकी छिन्"
The girls are dancing.,केटीहरू नाचिरहेका छन्।
"The lead actor and actress are looking at each other, blushing/smiling.",मुख्य अभिनेता र अभिनेत्री एकअर्कालाई हेर्दै मस्किएका छन्
The lead actress along with supporting dancers are seen dancing with hands on their waists.,बीचकी अभिनेत्री साथसाथै सह-नर्तकीहरू कम्मरमा हात राखेर नाचिरहेको देखिन्छ
"The lead actress is standing in the middle of the veranda, singing and acting in a cheerful manner.",मुख्य अभिनेत्री बरण्डाको बीचमा उभिएर रमाइलो पारामा गीत गाउँदै र अभिनय गरिरहेकी छिन्
"The lead artist in the middle pushes away the male dancers on both sides, smiling broadly displaying his teeth.","बीचको मुख्य कलाकारले दुवैपट्टिको केटा कलाकारलाई धकेलेर, दाँत देखाउँदै मुसुक्क हाँस्दै"
"The lead couple is sitting in the middle, looking at each other while performing playfully.",मुख्य जोडी बीचमा बसेर एक-अर्कालाई हेर्दै रमाइलो अभिनय गर्दै छन्।
The lead couple is sitting together in the middle.,बीचमा मुख्य जोडी एकै साथ बसेका छन्।
The lead singer is wearing glasses and holding a guitar. Beside him are girls playing traditional Dhime drums (in red Dhime costumes and head wraps) and an eye-catching Lakhey dancer wearing a fearsome Lakhey mask (traditional Newari mask).,मुख्य गायक चस्मा लगाएको अनि हातमा गिटार छ। उनको साइडमा परम्परागत धिमे बाजा बजाउने केटीहरू (रातो धिमे पोसाक र टाउकोमा कपडा बाँधेको) र एउटा भयानक लाखे मुखुण्डो (परम्परागत नेवारी मुखुण्डो) लगाएको ध्यानाकर्षण लाखे नर्तक छ।
The old man walks around the platform shouting into the microphone.,वृद्ध चौतारीमा हिँड्दै माइकमा कराउँदैछ
The scene is chnaging,दृश्य परिवर्तन भइरहेको छ।
"The scene shows an old house made of stone and mud with its ruined roof, where some Buddhist prayer flags are tied. In the background, there is an open sky with bare hills and white clouds.","दृश्यमा ढुङ्गा र माटोले बनेको पुरानो घर र त्यसको भत्किएको छत देखिन्छ, जहाँ थोरै बुद्ध धर्मको झण्डा पनि बाँधिएको छ। पछाडिपट्टि नाङ्गो पहाड र सेतो बादल भएको खुला आकाश छ।"
The shopkeeper is playing with the dog and cleaning the shop.,पसलको साहुजी कुकुरसँग खेल्दै अनि पसल सफा गर्दै
"The singer is energetically holding a guitar and lip-syncing, while the Lakhey dancer and the girls playing Dhime sway to the song's beat and perform a dynamic cultural dance.",गायकले ऊर्जाका साथ गिटार समात्दै लिप-सिङ्क गरिरहेका छन् भने लाखे नर्तक र धिमे बजाउने केटीहरू गीतको विशेष तालमा झुमेर गतिशील रूपमा सांस्कृतिक नृत्य गरिरहेका छन्।
"The two lead young men are dancing with their arms around each other's shoulders, while a row of supporting artists stand by, enthusiastically backing them up.",मुख्य दुई युवा पात्रहरू एकअर्काको काँधमा हात राखेर नृत्य गरिरहेका छन् भने सहायक कलाकारहरू लहरै उभिएर उनीहरूलाई जोसका साथ साथ दिइरहेका छन्
The two posing romantically in the mustard field during the shoot,तोरी बारीको बीच दुई जना रोमान्टिक पोज दिँदै सुटिङ गरेको
The vehicle is driving.,गाडी गुडिरहेको छ।
"The woman is laughing and gesturing with her hand in the air, while the man sitting on the floor looks at her as if trying to speak.",ती महिलाले हाँस्दै आफ्नो हात हावामा उठाएर हाउभाउ गरिरहेकी छिन् भने भुइँमा बसेका पुरुषले उनीतिर हेर्दै कुरा गर्न खोजिरहेको जस्तो देखिन्छ।
"The woman is talking to the young man in a playful manner, while the young man smiles listening to her as they walk together.",महिला चञ्चले अन्दाजमा युवा पुरुषलाई आफ्नो कुरा राख्दैछिन् भने युवा पुरुष उनको कुरा सुन्दै मुस्कुराउँदै सँगसँगै हिँडिरहेका छन्
"The woman is walking or dancing ahead, while the man raises his hand gesturing to her.","महिला अगाडि हिँड्दै वा नाच्दै गरेकी, पुरुषले हात उठाउँदै उनलाई इसारा गरेको"
The young man and the young woman swaying her waist are dancing playfully.,ती युवा र कम्मर मर्काउँदै गरेकी युवती चञ्चल रूपमा नृत्य गरिरहेका।
"The young woman, feeling sad and about to cry, wipes her tears with her hand.",युवती निराश भएर रुने बेला आफ्नो हातले आँसु पुछ्दै गरेकी
The youth slowly walks with his hands in his pockets.,युवक खल्तीमा हात राखेर बिस्तारै खल्तीमा हात राखेर हिँड्दै
"There are brick structures around, with fun and colorful pillows placed there.","छेउ-छेउमा इट्टाले बनेका ठाउँहरू छन्, जहाँ रमाइलो र रङ्गीचङ्गी तकियाहरू राखिएका छन्।"
There are cows and sheep around the hills.,पहाड वरिपरि गाईवस्तु र भेडाहरू छन्।
There are flowers on the floor.,भुइँमा फूलहरू छन्।
There are hills.,पहाड छ
There are houses.,घरहरू छन्
There are people.,मानिसहरू छन्।
"There are stairs inside a large room, and yellow lights are lit.",ठूलो कोठाभित्र सिँढी छ र पहेंलो बत्ती बलेको छ।
There are supporting artists behind both sides of the lead singer.,मुख्य गायकको दुवैपट्टि पछाडि सह-कलाकारहरू छन्।
There are traditional clay pots on the balcony floor.,कौसीको भुइँमा परम्परागत माटोले बनेका भाँडाहरू छन्
There are two girls and a boy.,दुई जना केटी र एक जना केटा छन्
There is a boy placing his hand on his chest.,केटा छ अनि छातीमा हात राखिरहेको छ।
There is a doko (traditional basket).,डोको छ
There is a doko basket and background dancers are present.,डोको छ अनि पृष्ठभूमिमा नर्तकहरू छन्।
There is a doko basket and background dancers.,डोको अनि ब्याकग्राउन्ड डान्सरहरू छन्
There is a forest.,जङ्गल छ
There is a house.,घर छ।
"There is a small stream near the green grass, and a forest in the background.",हरियो घाँसको छेउमा सानो खोला छ भने पछाडि जङ्गल छ।
There is a stream/river.,खोला छ।
There is a tree.,रूख छ।
There is a utility pole in the background.,पछाडि पोलको खम्बा छ
There is a wall and lights are glowing.,भित्ता छ अनि बत्ती बलिरहेको छ।
There is a yellow wall and they are dancing.,पहेंलो भित्ता छ अनि नाचिरहेका छन्।
"There is an attractive girl with long hair, wearing traditional stone jewelry on her head and a colorful cultural dress.",लामो कपाल भएकी एउटी आकर्षक केटी छिन् जसले टाउकोमा परम्परागत पत्थर/गहना र रङ्गीचङ्गी सांस्कृतिक पोसाक लगाएकी छिन्।
There is an ocean/sea.,समुद्र छ
There is snow.,हिउँ छ।
"They are all lined up at the top of the stairs, with the male dancers carrying their female partners.",उनीहरू सबै सिँढीको माथिल्लो भागमा लाइन लागेर केटा नर्तकहरूले आफ्नो जोडी केटी कलाकारलाई बोकिरहेका।
They are dancing and having fun together while raising guns in their hands.,हातमा बन्दुक उचालेर सँगै नाच्दै रमाइलो गरिरहेका छन्।
They are dancing and singing.,नाचिरहेका र गाइरहेका छन्
"They are dancing around her, keeping her in the center.",उनलाई केन्द्रविन्दुमा राखी वरिपरि घुम्दै नृत्य गरिरहेका छन्।
They are dancing holding handkerchiefs in their hands.,हातमा रुमाल बोकेर नाचिरहेका छन्।
"They are looking at each other, blushing and smiling with open hearts.",एकअर्कालाई हेर्दै लजाएर खुला हृदयले मुस्कुराइरहेका छन्।
They are playfully teasing their Magar female friends.,रमाइलो अन्दाजमा मगरनी साथीहरूलाई जिस्काइरहेका छन्
They are singing and swaying.,गीत गाइरहेका छन् र हल्लिरहेका छन्
"This scene is set in a mountainous rural area, with high snow-capped mountains and hills visible in the background.",यो दृश्य कुनै पहाडको ग्रामीण भाग हो जहाँ पछाडि हिउँले ढाकेको अग्ला अग्ला हिमाल अनि पहाडहरू देख्न सकिन्छ।
This scene is shot in a Himalayan village setting. Old stone houses and massive bare mountains are visible in the background.,"यो दृश्य एउटा हिमाली गाउँको परिवेशमा खिचिएको छ। पछाडिपट्टि ढुङ्गाले बनेका पुराना घरहरू, र ठूला-ठूला नाङ्गा पहाडहरू देखिन्छन्।"
"This scene is shot inside the house, where a wooden window, long curtain, and table can be seen.","यो दृश्य घरको भित्री भागमा खिचिएको छ, जहाँ काठको झ्याल, लामो पर्दा अनि टेबल देख्न सकिन्छ।"
"This scene is shot on top of a very beautiful, lush green hill. Dense trees and green grass are visible in the background.","यो दृश्य एउटा एकदमै सुन्दर, हरियोभरी पहाडको डाँडामा खिचिएको छ। पछाडिपट्टि घना रूखहरू र हरियो घाँस देखिन्छ।"
"This video is shot inside an indoor studio set, with a very bright and plain blue wall in the background.","यो भिडियो एउटा इन्डोर स्टुडियो सेटभित्र खिचिएको छ, जहाँ पछाडिपट्टि एकदम चम्किलो र सादा नीलो रङको भित्ता छ।"
Three boys playing drums and guitar while singing,"तीन जना केटाहरू ड्रम, गिटार बजाउँदै गीत गाउँदैछन्"
"Three young men, among whom the one in front is holding a cigarette","तीन जना युवाहरू, जसमध्ये अगाडिको एक जना युवाले चुरोट समातेको छ"
Thula hariya thula rukh haru ko aagadi eauta tal,ठूला हरिया रूखहरूको अगाडि एउटा ताल
Thula heu pareka himal ani agla pahadh haru,ठूला हिउँ परेका हिमाल अनि अग्ला पहाडहरू
Thula thula himal pahadh haru,ठूला-ठूला हिमाल पहाडहरू
"Thula thula ruch lai dhaki raheko, kashto sundar drishya","ठूला-ठूला रूखहरूलाई ढाकिरहेको, कस्तो सुन्दर दृश्य"
"Thulo dhunga ma adesh lagayeko ek yubak tala gau tira herera, bhabuk hudai geet gai raheko","ठूलो ढुङ्गामा अडेस लागेको एक युवक तल गाउँतिर हेरेर, भावुक हुँदै गीत गाइरहेको"
Thulo leu lako dhunga,ठूलो लेउ लागेको ढुङ्गा
Tori bari ko bich dui jana romantic pose didai shooting gareko,तोरी बारीको बीच दुई जना रोमान्टिक पोज दिँदै सुटिङ गरेको
Tori bari ma tori fuleko,तोरी बारीमा तोरी फुलेको
"Traditional houses made of mud, wood, stone, and brick all around.","चारैतिर परम्परागत माटो, काठ, ढुङ्गा अनि इँट्टाले बनेको घरहरू।"
Traditional utensils are seen on a large stone headboard-like platform.,ढुङ्गाले बनेको ठूलो सिरानी जस्तो ठाउँमा परम्परागत भाँडा देखिन्छ।
"Traditional village window and stone-mud house, with a doko basket and corn hanging on the balcony, and green hills and a cornfield in the upper part.","गाउँको परम्परागत झ्याल र ढुङ्गा-माटोले बनेको घर, कौसीमा डोको र मकै झुण्ड्याएको, र माथिल्लो भागमा हरियाली डाँडा र मकैबारी देखिन्छ।"
Traditional wood and stone structure where straw and pumpkin are hanging,परम्परागत काठ र ढुङ्गाको ढाँचा जहाँ पराल अनि फर्सी झुण्ड्याएको छ
"Tree, brick-paved house, men and women in Newari attire playing madal, straw","रूख, इँट्टाले छापेको घर, नेवारी पहिरनमा महिला र पुरुषहरू मादल बजाउँदै, पराल"
"Tree, bushes","रूख, झाडीबुटी"
Two boys and a girl are wearing Newari traditional attire.,दुई जना केटा र एउटी केटी नेवारी लुगा लगाएका छन्
Two girls and a boy enjoying watching the Tharu dance,दुईवटा केटी र एक जना केटा थारु नृत्य हेरेर रमाइरहेका
"Two mic stands, a drum set, and a guitar",दुईवटा माइक स्ट्यान्ड एउटा ड्रम अनि गिटार
"Two people are walking on the hillside field. One carries a doko basket, the other holds supplies.","दुई जना मानिस पहाडको मैदानमा हिँडिरहेका छन्। एउटाले डोको बोकेको छ, अर्कोले हातमा सामग्री बोकेको छ।"
Two people wearing warm clothes in the cold hills,पहाडको चिसोमा न्यानो लुगा लगाएका दुई जना मानिसहरू
"Two young men in patterned waistcoats and jeans, alongside women in kurta surwal and gunyo choli wearing potey necklaces around their necks",बुट्टा भएको इस्टकोट र जिन्सको प्यान्ट लगाएका दुई युवाहरू सँगै कुर्ता सुरुवाल तथा गुन्यू चोलो र गलामा पोते लगाएका महिला युवतीहरू
Vehicle / Car,गाडी
"Viewed from above, hanging string lights, colorful flags, brick walls, and shop shutters are visible in a narrow alley-like space.","माथिबाट हेर्दा साँघुरो गल्ली जस्तो ठाउँमा डोरीमा झुण्डिएका बत्ती, रङ्गीचङ्गी पताका, इट्टाको भित्ता र सटरहरू देखिएका छन्।"
Village courtyard and guns,गाउँको आँगन र बन्दुक
Village house courtyard,गाउँको घर आँगन
Village path,गाउँ घरको बाटो
Villagers wearing thick clothes,मोटो लुगा लगाएका गाउँ घरका मानिसहरू
"Waking up and walking straight forward in a slow, tired gait.",उठेर लुरुलुरु सिधा अगाडितर्फ पाइला बढाउँदै
"Walking along the sandy bank of the river, coming out from under the bridge and walking straight forward in a slow, tired gait.",खोलाको बगरै बगर पुलमुनिबाट निस्किएर लुरुलुरु सिधा अगाडितर्फ पाइला बढाउँदै हिँडिरहेको
Wall,भित्ता
Wall and lights,भित्ता र बत्ती
Wall ra light,भित्ता र बत्ती
"Wall, outdoor environment","भित्ता, बाहिरी वातावरण"
Wandering around,भौंतारिँदै
"Water, grass, trees","पानी, घाँस, रूख"
Waving hands while resting feet on the wall,खुट्टा भित्तामा राखेर हात हल्लाउँदै
Wearing a dhaka topi,ढाका टोपी लगाएको
"While everyone else is dancing to their own rhythm, a beautiful girl walks ahead, sharing romantic looks with the boy.","सबै जना आफ्नो धुनमा नाचिरहेका छन् भने एउटी सुन्दर केटी अगाडि हिँड्दै, रोमान्टिक हुँदै केटालाई हेर्दैछिन्।"
"While singing, the boys have started dancing.",गाउँदागाउँदै केटाहरू नाच्न थालेका छन्।
"While snow is falling, the supporting artists are dancing and the lead couple poses romantically.",हिउँ परिरहेको बेला सह-कलाकारहरू नाचिरहेका छन् अनि मुख्य कलाकारहरू रोमान्टिक पोज दिँदै
"While the girl is watering the flowers, the boy stands watching.",केटीले फूलहरूलाई पानी दिइरहेको बेला केटा हेरेर उभिएको छ।
"While the girl was saying something to the boy, the boy shook his head gesturing 'no'.",केटीले केटालाई केही भन्दै गर्दा केटाले टाउको हल्लाएर 'नाइँ' भनेर इसारा दियो।
"While the villagers are gathering, three girls walk forward holding hands and looking on.",गाउँका मानिसहरू भेला हुँदै गरेको बेलामा तीन जना केटीहरू हात समातेर अगाडि आएर हेर्दैछन्
"While walking, the girl gestures to call the boy, and the boy comes over wearing sunglasses.",केटी हिँड्दा हिँड्दै केटालाई इसाराले बोलाएर केटा चस्मा लगाएर आउँदैछ
"Women wearing Newari attire, men in dhaka topi playing sarangi and madal, and bundles of straw","नेवारी पहिरन लगाएकी महिलाहरू, ढाका टोपी लगाएका पुरुष सारङ्गी र मादल बजाउँदै, परालको मुठो"
Wooden house,काठको घर
Yellow disco lights shining with smoke visible from behind,पहेंलो डिस्को बत्ती बलेको अनि पछाडिबाट धुवाँ देखिएको छ
Yellow lights are lit all around.,चारैतिर पहेंलो बत्ती बलेको।
"Yellow mustard flowers are blooming all around, making the view extremely captivating.",चारैतिर पहेंलो तोरीको फूलहरू फुलेको भएर दृश्य एकदम लोभलाग्दो छ।
Young men,युवा पुरुषहरू
Young men wearing Magar traditional dress with peacock feathers visible at the back,मयूरको प्वाँख पछाडि देखिएको मगर पोसाक लगाएका युवाहरू
Young men wearing traditional Magar dress,मगर पोसाक लगाएका युवाहरू
Young people are dancing and having fun together in a decorated alley lit with lights.,युवाहरू बत्ती र सजावट भएको गल्लीमा सँगै नाच्दै रमाइलो गर्दैछन्।
Young people playing instruments to the beat of the song,युवाहरू गीतको तालमा बाजा बजाउँदै
Yuba haru geet ko taal ma baja bajaudai,युवाहरू गीतको तालमा बाजा बजाउँदै
Yubati Nirash vayera runa bela aafno hath ley aashu puchdai gareko,युवती निराश भएर रुने बेला आफ्नो हातले आँसु पुछ्दै गरेकी
aadhunik dress lagayeki ek jana yuba mahila sindhiko mathillo bhag ma ubhiyeki dekhinchin,आधुनिक पोसाक लगाएकी एक जना युवा महिला सिँढीको माथिल्लो भागमा उभिएकी देखिन्छिन्।
aakha chimlera bhittama adiyeko,आँखा चिम्लेर भित्तामा अडिएको
aauta kalo bittha,एउटा कालो भित्ता
andhyaro batabaran,अँध्यारो वातावरण
"baigani butteydhar kurtha ra kammar patuka badheka ek mukhya yuwa patra ra unko daya tarfa choli, halka pahelo rangko fariya ra ghati ma potey lagayeki ek mukhya yuwati patra","बैजनी बुट्टेदार कुर्ता र कम्मरमा पटुका बाँधेका एक मुख्य युवा पात्र र उनका दायाँतर्फ चोली, हल्का पहेंलो रङको फरिया र घाटीमा पोते लगाएकी एक मुख्य युवती पात्र।"
basdai,बस्दै
batoko side ma kera ko bari dekheko,बाटोको साइडमा केराको बगान देखिएको
bhautaridai,भौंतारिँदै
"bhitta, bahiri batabaran","भित्ता, बाहिरी वातावरण"
bibinna rang ko luga lagako manxey haru ghar ko peti ma basirako,विभिन्न रङको लुगा लगाएका मानिसहरू घरको पेटीमा बसिरहेका
bora bhitra khojdai,बोराभित्र खोज्दै
chitra koriyeko vitta,चित्र कोरिएको भित्ता
chyatteko luga lagayeko ek manchhe,च्यातिएको लुगा लगाएको एक मान्छे
chyatteko luga lagayeko voko manchhe,च्यातिएको लुगा लगाएको भोको मान्छे
damilo bitta,धमिलो भित्ता
"dhoka,jhari","ढोका, झाडी"
"dhoka,rukh ko jara",ढोका र रूखको जरा
duita mike stand eauta drum ani guitar,दुईवटा माइक स्ट्यान्ड एउटा ड्रम अनि गिटार
ek jana yuwak,एक जना युवक
ek jana yuwak ra dui ota kukur,एक जना युवक र दुईवटा कुकुरहरू
"ek neplali mahila aakash niyaldai, phul ko bot","एक नेपाली महिला आकाश नियाल्दै, फूलको बोट"
ek saath afno afno haath hawa ma uthayera samuhik loknritya gariraheka,एकसाथ आफ्नो-आफ्नो हात हावामा उठाएर सामूहिक लोकनृत्य गरिरहेका
ek yuwak,एक युवक
euta baijani rang ko shirt lagayeko purush ra euta mahila,एउटा बैजनी रङको सर्ट लगाएको पुरुष र एउटी महिला
euta mahila ra euta nilo jeans ra seto shirt lagayeko purush,एउटी महिला र एउटा नीलो जिन्स र सेतो शर्ट लगाएको पुरुष
euta mahila ra euta purush,एउटी महिला र एउटा पुरुष
euta purush,एउटा पुरुष
fohor tipdai,फोहोर टिप्दै
"ful, hariyali","फूल, हरियाली"
gaun ko ghar aangan,गाउँको घर आँगन
gaunko aangan ra banduk,गाउँको आँगन र बन्दुक
"ghar, nilo badal lageko aakash","घर, नीलो बादल लागेको आकाश"
guitar bajaudai gareko ek purush,गिटार बजाउँदै गरेको एक पुरुष
hari ghas ko najik eauta pokhari,हरियो घाँसको नजिक एउटा पोखरी
hariyali dekhiney gramid bheg ko pristabhumi & sahayek rup ma rato  choli ra gadha pahelo rang ko fariya sangai ghati ma pahelo potey lagayeka nartakiharu,हरियाली देखिने ग्रामीण भेगको पृष्ठभूमि र सहायक रूपमा रातो चोली र गाढा पहेंलो रङको फरियासँगै घाटीमा पहेंलो पोते लगाएका नर्तकीहरू।
hariyo patalo thula thula haga vayeka rukh haru,हरिया पातला ठूला-ठूला हाँगा भएका रूखहरू
hasdai,हाँस्दै
"herdai,",हेर्दै
"itako bhitta ra dhalako bhui, nilo aakash","इँट्टाको भित्ता र ढलानको भुइँ, नीलो आकाश"
"jhadibuti, fohor","झाडीबुटी, फोहोर"
"jhari, aakash","झाडी, आकाश"
"juun lagirako, baadal lageko aakash, rati ko samay, jhari","जुन लागिरहेको, बादल लागेको आकाश, रातिको समय, झरी"
kalo rangko jungle safari gadi aayera rokiyo,कालो रङको जङ्गल सफारी गाडी आएर रोकियो
kath ko dhoka ani kursi,काठको ढोका अनि कुर्सी
khadai,खाँदै
"khadai, jara samatdai",खाँदै र जरा समात्दै
khana khadai,खाना खाँदै
kholako kinar najik phool haru fuleko ra ali tadha tira rukh haru dekheko,खोलाको किनार नजिक फूलहरू फुलेको र अलि टाढातिर रूखहरू देखिएको
"khulla aagan, rukhharu, sano tal, taal ma phul phuliraheko","खुला आँगन, रूखहरू, सानो ताल, तालमा फूल फुलिरहेको"
khutta vitta ma rakhera haat hallaudai,खुट्टा भित्तामा राखेर हात हल्लाउँदै
koi manxey haru ghar ko peti ma basi raheko ra koi vane ubiyeko,कोही मानिसहरू घरको पेटीमा बसिरहेका छन् भने कोही उभिएका छन्
"kotha, luga jhundyaeko","कोठा, लुगा झुण्ड्याएको"
kukur sanga baseko,कुकुरसँग बसेको
"lakhe, madal, newari pahiran lagayeki mahila haru madal bajaudai,  drum, durbar square","लाखे, मादल, नेवारी पहिरन लगाएकी महिलाहरू मादल बजाउँदै, ड्रम, दरबार स्क्वायर"
"makai ko botharu, pipal ko rukh, aakash, nadi","मकैको बोटहरू, पिपलको रूख, आकाश, नदी"
muskuraudai,मुस्कुराउँदै
