English,Arabic
A sled dog team running from the perspective of the rider .,فريق الكلب المزلجة يركض من منظور المتسابق.
A sled-dog team works hard on this snowy trail .,يعمل فريق زلاجة في الكلب بجد على هذا الممر الثلجي.
"""Several dogs in the snow , all harnessed in a line .""","""العديد من الكلاب في الثلج ، كلها تسخير في خط."""
A child in orange walking on wooden walkway built in a body of water .,طفل يرتدي برتقالي يمشي على ممر خشبي مبني في جسم من الماء.
Two children are running down a bridge across a lake .,طفلان يركضان على جسر عبر البحيرة.
Two children run along a boardwalk that crosses over a body of water .,يركض طفلان على طول ممر يعبر جسمًا من الماء.
Two children walking on a wooden pier over water .,طفلان يمشيان على رصيف خشبي فوق الماء.
Two children wearing orange walk across a long pier .,طفلان يرتدون برتقالي يمشي عبر رصيف طويل.
A brown dog looks up while a person 's fingers are in its mouth .,ينظر كلب بني إلى أعلى بينما توجد أصابع الشخص في فمه.
A dog bites someone 's finger .,كلب يعض إصبع شخص ما.
A dog is chewing on someone 's finger .,الكلب يمضغ على إصبع شخص ما.
A person has his or her hands in a dog 's mouth .,الشخص يديه في فم كلب.
A person touches a dog 's tooth .,الشخص يمس أسنان الكلب.
A man and a dog are sitting on the pavement are sitting by a wall .,رجل وكلب يجلسون على الرصيف يجلس بجوار الحائط.
A man and his husky sitting in the snow at the corner of a building .,رجل وأجسقة يجلس في الثلج في زاوية المبنى.
A man is sitting in the snow with his dog asking for spare change .,رجل يجلس في الثلج مع كلبه يطلب التغيير الاحتياطي.
A man sits outside in the snow with his dog and blue blanket .,رجل يجلس في الخارج في الثلج مع كلبه وبطانية أزرق.
Person sitting in snow on a sidewalk holding small black dog and a husky laying beside him .,شخص يجلس في الثلج على الرصيف يحمل كلبًا أسود صغيرًا وقشورًا مستلقيًا بجانبه.
A girl pushes a boy on a swing on a sandy playground .,فتاة تدفع فتى على أرجوحة على ملعب رملي.
A girl stands behind a boy in a swing .,فتاة تقف وراء صبي في أرجوحة.
A little girl is pushing a little boy who is sitting on a swing .,فتاة صغيرة تدفع صبيًا صغيرًا يجلس على أرجوحة.
a little girl pushes a little boy on the swing .,فتاة صغيرة تدفع صبي صغير على الأرجوحة.
The small girl in the red shirt pushes the little boy on the baby swing .,الفتاة الصغيرة في القميص الأحمر تدفع الصبي الصغير على أرجوحة الطفل.
A child peeks his head out from some flowers .,طفل يطل رأسه من بعض الزهور.
A child with blue eyes sitting amid flowers .,طفل ذو عيون زرقاء يجلس وسط الزهور.
A kid playing in a bunch of flowers .,طفل يلعب في حفنة من الزهور.
The brown haired toddler is holding onto the edge of a flower pot in a garden .,يمسك الطفل البني ذو الشعر البني على حافة وعاء الزهور في حديقة.
This small child is in a garden with flowers all around .,هذا الطفل الصغير في حديقة مع الزهور في كل مكان.
A drummer and three saxophones players outside a storefront .,لاعب درامز وثلاثة لاعبين في ساكسفون خارج واجهة المتجر.
A small band of guys are playing their saxophones and one man is playing the drums with buckets .,يلعب مجموعة صغيرة من اللاعبين ساكسفونهم ورجل واحد يلعب الطبول مع دلاء.
Four people play instruments on the sidewalk .,أربعة أشخاص يلعبون أدوات على الرصيف.
Three guys play saxophone while another drums on buckets .,ثلاثة رجال يلعبون ساكسفون بينما طبول أخرى على الدلاء.
Three men play saxophones while one man play makeshift drum on a corner,ثلاثة رجال يلعبون ساكسفون بينما يلعب رجل واحد طبل مؤقت في الزاوية
A black and white dog running in front of a brown dog in the grass .,كلب أسود وأبيض يركض أمام كلب بني في العشب.
A brown dog and a white and black dog are running in grass .,كلب بني وكلب أبيض وسود يركض في العشب.
A brown dog and black and white dog run along the green grass .,كلب بني وكلب أبيض وأسود يركض على طول العشب الأخضر.
"""Two dogs , a golden one and a white one with black patches , are running towards something .""","""كلابان ، أحدهما ذهبي وأبيض مع بقع سوداء ، يركضان نحو شيء ما."""
Two dogs are running together through the grass .,كلابان يركضان معًا من خلال العشب.
A child swings on his stomach on a tire swing amidst trees .,طفل يتأرجح على بطنه على تأرجح إطار وسط الأشجار.
A small child on a tire swing in a forested field .,طفل صغير على تأرجح إطار في حقل غابات.
a small child playing on a tire swing,طفل صغير يلعب على أرجوحة الإطارات
a small kid swinging on a tire swing,طفل صغير يتأرجح على أرجوحة الإطارات
A very little child swings on a tire swing .,طفل صغير يتأرجح على أرجوحة الإطارات.
A black and brown dog are starring at each other .,كلب أسود وبني يلعب دور البطولة في بعضهما البعض.
A dark brown dog and a light brown dog in a field stare at each other .,كلب بني داكن وكلب بني فاتح في حقل يحدق في بعضهما البعض.
Two dogs are facing each other in a grassy field .,يواجه كلابان بعضهما البعض في حقل عشبي.
Two dogs are looking at each other .,ينظران كلابان إلى بعضهما البعض.
Two dogs confront each other in the middle of a field,يواجه كلابان بعضهما البعض في منتصف الحقل
A brown dog walks towards another animal hiding in the grass .,يسير كلب بني نحو حيوان آخر يختبئ في العشب.
A dog walks in the grass towards a dog lying down .,يسير كلب في العشب نحو كلب مستلقي.
A grey silky dog is laying in the grass while a brown dog looks on .,كلب حريري رمادي يضع في العشب بينما ينظر كلب بني.
A standing brown dog watches another dog lay in the grass,كلب بني واقف يشاهد كلبًا آخر يقع على العشب
The brown dog sees a black dog laying in the dry grass .,يرى الكلب البني كلبًا أسودًا يرقد في العشب الجاف.
A brown and white dog is leaping over a log near water in the snow .,يقفز الكلب البني والأبيض فوق سجل بالقرب من الماء في الثلج.
a dog jumps over a fallen tree .,كلب يقفز فوق شجرة سقطت.
A small dog in a harness jumps over a snow covered log while another dog watches .,يقفز كلب صغير في تسخير على سجل مغطى بالثلوج بينما يراقب كلب آخر.
The white dog leaping over a snow covered log .,الكلب الأبيض يقفز فوق سجل مغطى بالثلوج.
White dog with tan spot leaping over snow covered object with white and black dog behind .,الكلب الأبيض مع بقعة تان قفز فوق جسم المغطى بالثلوج مع الكلب الأبيض والأسود وراء.
A brown dog is shaking off the snow .,كلب بني يهز الثلج.
A brown dog squats in a deep pile of snow .,كلب بني يجلس القرفصاء في كومة عميقة من الثلج.
A brown long-haired dog plays in the snow,يلعب كلب بني ذو شعر طويل في الثلج
The brown dog is playing in the snow .,الكلب البني يلعب في الثلج.
The brown dog is playing in the white snow .,الكلب البني يلعب في الثلج الأبيض.
The two girls are playing on a yellow sit and bounce .,الفتاتان يلعبان على جلوس أصفر وترتد.
Two children sitting atop a large yellow bounce toy .,طفلان يجلسون على قمة لعبة ارتداد صفراء كبيرة.
Two girls bounce on a large yellow ball indoors .,فتاتان ترتد على كرة صفراء كبيرة في الداخل.
Two little girls are sitting on a yellow rubber ball toy .,فتاتان صغيرتان تجلسان على لعبة كرة مطاطية صفراء.
Two smiling girls sit on a yellow bouncy ball .,فتاتان مبتسمتان تجلسان على كرة نطاطية صفراء.
A black guy smoking a cigarette .,رجل أسود يدخن سيجارة.
A black man smoking a cigarette is in front of a government type building .,رجل أسود يدخن سيجارة أمام مبنى من النوع الحكومي.
A man wearing a blue shirt smokes a cigarette in front of an official building .,رجل يرتدي قميصًا أزرق يدخن سيجارة أمام مبنى رسمي.
A man with a collarless shirt smokes a cigarette in front of a courthouse .,رجل ذو قميص بدون ذوق يدخن سيجارة أمام المحكمة.
An African American man smoking a cigarette outside a large building .,رجل أمريكي من أصل أفريقي يدخن سيجارة خارج مبنى كبير.
A person has just thrown a snowball and hit someone in the back .,لقد ألقى الشخص كرة ثلجية وضرب شخصًا ما في الظهر.
People outside a house in snow .,الناس خارج منزل في الثلج.
People stand outside a house .,يقف الناس خارج المنزل.
"""Several people standing in front of a pile of snow in front of a house , with one person shoveling .""","""العديد من الناس يقفون أمام كومة من الثلج أمام منزل ، مع شخص واحد يجرف""."
Some people are gathered by a mound of snow outside a house .,يتم تجمع بعض الناس من خلال تل من الثلج خارج المنزل.
A man in swim trunks is juggling on the beach,رجل في جذوع السباحة يتشوش على الشاطئ
A man juggles at the beach .,رجل يتنشق على الشاطئ.
A shirtness man juggles batons on the beach .,رجل قميص يزحلق الهراوات على الشاطئ.
A young man in swim trunks is juggling on the beach .,شاب في جذوع السباحة يتجول على الشاطئ.
Juggler on beach in blue swimsuit .,Juggler على الشاطئ في ملابس السباحة الأزرق.
A fluffy white dog running across the snow .,كلب أبيض رقيق يركض عبر الثلج.
A white bear walks along snow-covered ground and casts a shadow on the snow .,يسير دب أبيض على طول الأرض المغطاة بالثلوج ويلقي بظلال على الثلج.
A white dog running on snow .,كلب أبيض يركض على الثلج.
A wolf moves over the snow .,الذئب يتحرك فوق الثلج.
The white dog runs across the snow .,الكلب الأبيض يركض عبر الثلج.
A boy in a diaper jumping onto a couch .,صبي في حفاضات يقفز على الأريكة.
A boy in a diaper jumps onto a bed with a striped covering and red pillow in a room with toys and a chair .,يقفز صبي في حفاضات على سرير مع تغطية مخططة ووسادة حمراء في غرفة مع ألعاب وكرسي.
A child jumps onto a bed .,طفل يقفز على السرير.
A child leaping onto a bed in a room with toys on the floor .,طفل يقفز على سرير في غرفة مع ألعاب على الأرض.
Young boy jumping on to his bed .,صبي صغير يقفز على سريره.
"""A guy with tattoos , sitting on a couch .""","""رجل مع الوشم ، يجلس على الأريكة."""
A man sits on a couch beside a colorful cushion with a pencil in his hand .,رجل يجلس على الأريكة بجانب وسادة ملونة مع قلم رصاص في يده.
A man sitting on a chair rubbing his eye .,رجل يجلس على كرسي يفرك عينه.
A man with tattoos is lounging on a couch holding a pencil .,رجل مع الوشم يتسكع على أريكة تحمل قلم رصاص.
Tattooed man rubs his eye while sitting on chair indoors .,رجل وشم يفرك عينه وهو يجلس على كرسي في الداخل.
Two husky-like white dogs are outside on snow .,اثنين من الكلاب البيضاء تشبه أجش في الخارج على الثلج.
two samoyads play in the snow .,اثنين من ساموياد يلعب في الثلج.
Two white dogs are playing in the snow .,اثنان من الكلاب البيضاء يلعبان في الثلج.
Two white dogs running and playing in a snow covered field .,اثنان من الكلاب البيضاء يركضان ويلعبان في حقل مغطى بالثلوج.
Two white furry dogs play in the snow .,اثنين من كلاب فروي بيضاء يلعب في الثلج.
"""A fluffy , white dog running in the snow .""","""كلب أبيض رقيق يركض في الثلج."""
A white dog running across the snow,كلب أبيض يركض عبر الثلج
A white dog running in the snow .,كلب أبيض يركض في الثلج.
A white dog runs through the snow-covered ground with his mouth open .,يمر كلب أبيض عبر الأرض المغطاة بالثلوج مع فتح فمه.
A white fluffy dog is running in pure white snow .,الكلب الرقيق الأبيض يركض في ثلج أبيض نقي.
Three people are standing on a hill that is partly covered in snow .,ثلاثة أشخاص يقفون على تل مغطى جزئيًا بالثلوج.
Three people in dark clothing stand in a field of melting snow .,ثلاثة أشخاص يرتدون ملابس داكنة يقفون في حقل ذوبان الثلج.
three people standing on the side of a snowy grassy hill,ثلاثة أشخاص يقفون على جانب تل عشبي ثلجي
Three young men standing on partially snow-covered ground,ثلاثة شبان يقفون على الأرض المغطاة بالثلوج جزئيًا
Two boys watch a third boy kicking some snow .,يشاهد صبيان صبيًا ثالثًا وهو يركل بعض الثلج.
A black and brown dog with blue collar goes on alert by a soccer ball in the grass .,يمتلك كلب أسود وبني مع ذوي الياقات الزرقاء في حالة تأهب بواسطة كرة كرة القدم في العشب.
A black dog standing in the grass near a volleyball .,كلب أسود يقف في العشب بالقرب من الكرة الطائرة.
A black dog stands a few feet away from a white soccer ball on grass .,يقف كلب أسود على بعد أمتار قليلة من كرة كرة القدم البيضاء على العشب.
A brown and black down with a blue collar near a soccer ball on a grassy field .,لون بني وأسود مع طوق أزرق بالقرب من كرة كرة القدم في حقل عشبي.
The dog awaits some to kick the soccer ball so he can retrieve it .,ينتظر الكلب البعض لركل كرة كرة القدم حتى يتمكن من استردادها.
A baby hold a wicker basket .,طفل يحمل سلة الخوص.
A baby holding onto a handle .,طفل يمسك بمقبض.
A child in a blue shit is holding on to a basket .,طفل في القرف الأزرق يمسك بسرقة.
A toddler grasping a wooden object .,طفل صغير يمسك جسمًا خشبيًا.
A young child is holding onto the back of a wicker chair .,طفل صغير يمسك بظهر كرسي الخوص.
A black and white puppy runs along the gravel road .,يمتد جرو بالأبيض والأسود على طول طريق الحصى.
A black and white puppy with ears straight up is running .,جرو بالأبيض والأسود مع آذان مستقيم يعمل.
a small black and white puppy running along a gravel path next to a larger dog in the background .,جرو صغير بالأبيض والأسود يمتد على طول طريق الحصى بجوار كلب أكبر في الخلفية.
A small black and white dog .,كلب صغير أسود وأبيض.
The gray and white dog is walking on gravel .,الكلب الرمادي والأبيض يسير على الحصى.
A guy skateboarding on midair .,رجل التزلج على الجو.
A man on a skateboard doing a jump over concrete .,رجل على لوح التزلج يقوم بالقفز فوق الخرسانة.
A man on a skateboard is jumping in the air with it .,رجل على لوح التزلج يقفز في الهواء معه.
Skateboarder in the air .,لوح التزلج في الهواء.
The guy in the blue shirt and jeans performs a grab trick on his skateboard .,الرجل في القميص الأزرق والجينز يؤدي خدعة الاستيلاء على لوح التزلج الخاص به.
A blond lab runs in the snow .,يعمل مختبر أشقر في الثلج.
a dog runs through the snow .,كلب يمر عبر الثلج.
A golden dog is running through the snow .,الكلب الذهبي يركض عبر الثلج.
A tan dog walks across the snow .,يسير كلب تان عبر الثلج.
Brown dog runs in snow .,الكلب البني يركض في الثلج.
a boy rides his ripstik on the street .,صبي يركب ريبستيك في الشارع.
A boy with a helmet skateboards across the street .,صبي مع ألواح تزلج خوذة عبر الشارع.
A child in a blue jacket and helmet is on a skateboard .,طفل في سترة زرقاء وخوذة على لوح التزلج.
A young boy wearing a helmet skateboards on the street .,صبي صغير يرتدي ألواح تزلج خوذة في الشارع.
There is a boy with a helmet and a stripe down the side of his pants riding on a skateboard .,هناك صبي مع خوذة وشريط أسفل جانب سرواله يركب على لوح التزلج.
A little boy is on top of a snow mound .,صبي صغير على قمة تل الثلج.
A little kid dressed in cold-weather gear is at the top of the snow mound .,يوجد طفل صغير يرتدي معدات الطقس البارد في الجزء العلوي من تل الثلج.
A small boy playing in the snow .,ولد صغير يلعب في الثلج.
Boy in winter gear stands on snow with outstretched arms .,الصبي في الشتاء يقف على الثلج مع الأسلحة الممدودة.
The child is standing on top of a snowbank with their arms outstretched .,يقف الطفل فوق ضفة ثلجية مع أذرعهم ممدودة.
The girls are dressed up in silver and white and their hair is styled .,يرتدي الفتيات الفضة والأبيض وشعرهن مصمم.
Two blonde girls in fancy silver dresses are standing near a large green palm .,توجد فتاتان شقراء في فساتين فضية فاخرة بالقرب من راحة أخضر كبيرة.
Two small girls in white dresses standing in front of a large green plant .,فتاتان صغيرتان ترتديان فساتين بيضاء تقف أمام نبات أخضر كبير.
Two young girls dressed formally,فتاتان صغيرتان ترتديان ملابس رسمية
Two young girls in fancy dresses are standing outside .,فتاتان صغيرتان يرتدين الفساتين الفاخرة تقف في الخارج.
A boy dressed for Halloween,صبي يرتدي عيد الهالوين
A boy has a spiked bracelet and a strange glove on .,الصبي لديه سوار مسنن وقفاز غريب على.
A boy is dressed as Freddy Krueger .,يرتدي صبي فريدي كروجر.
A boy looks at his leather spike bracelet .,صبي ينظر إلى سوار ارتفاعه الجلدي.
A young boy in a costume with a glove that has very long sharp fingers .,صبي صغير يرتدي زيًا مع قفاز له أصابع حادة طويلة جدًا.
A boy in blue pajamas plays with a toy .,صبي في بيجاما زرقاء يلعب مع لعبة.
A small boy is taking a black toy car from another small child .,صبي صغير يأخذ سيارة لعبة سوداء من طفل صغير آخر.
A small child plays with a batman toy car,طفل صغير يلعب بسيارة باتمان
A toddler in a blue onesie playing with a pointy black car toy .,طفل صغير في لعبة زرقاء يلعب مع لعبة سيارة سوداء مدببة.
A toddler on a hardwood floor playing with toys .,طفل صغير على أرضية من الخشب الصلب يلعب مع الألعاب.
A girl and boy hug each other near a doorway .,فتاة وصبي عناق بعضهما البعض بالقرب من المدخل.
A young boy and girl hug and smile .,صبي وفتاة عناق وابتسامة.
Two children are hugging each other indoors .,طفلان يعانقان بعضهما البعض في الداخل.
two children hug .,طفلان عناق.
Two children hug one another .,طفلان يعانقان بعضهما البعض.
A black and brown dog is laying with a tiger striped toy .,الكلب الأسود والبني يستلقي مع لعبة مخططة النمر.
A black and brown dog is playing with his chew toys .,يلعب كلب أسود وبني مع ألعاب مضغه.
a black dog plays with two soft toys in front of a fireplace .,يلعب كلب أسود مع لعبتين ناعم أمام الموقد.
A close-up of a black dog sitting on a doll and a toy next to a fireplace .,صورة مقربة من كلب أسود يجلس على دمية ولعب بجوار الموقد.
Black big dog is trying to chew into soft toy .,يحاول Black Big Dog مضغ لعبة ناعمة.
a boy in a mask holds up two bags of bread .,صبي في قناع يحمل حقيبتين من الخبز.
a boy wears a wrestling mask and carries bags of bread .,صبي يرتدي قناع المصارعة ويحمل أكياس من الخبز.
A boy with a blue wrestler mask is posign next to several other people .,صبي مع قناع المصارع الأزرق هو POSIGN بجوار العديد من الأشخاص الآخرين.
A man child carries two loaves of bread through the store .,طفل رجل يحمل أرافتين من الخبز من خلال المتجر.
A young boy wearing a mask stands holding two bags of bread .,صبي صغير يرتدي قناعًا يقف يحمل حقيبتين من الخبز.
A black dog running through the snow .,كلب أسود يمر عبر الثلج.
a black dog runs across the snow .,كلب أسود يركض عبر الثلج.
A black dog wearing a blue collar is running through the snow .,كلب أسود يرتدي طوق أزرق يمر عبر الثلج.
A black dog with a blue collar is running in the snow .,كلب أسود مع طوق أزرق يركض في الثلج.
The black dog has a blue collar on .,الكلب الأسود لديه طوق أزرق على.
A beige dog and brown dog in the snow .,كلب بيج وكلب بني في الثلج.
A brown dog kisses the ear of a white dog in the snow .,كلب بني يقبل أذن كلب أبيض في الثلج.
One dog liking another 's face in the snow .,كلب واحد يحب وجه شخص آخر في الثلج.
Two dogs playing in snow .,اثنان من الكلاب يلعبان في الثلج.
Two dogs play in the snow .,اثنان كلاب يلعب في الثلج.
A man in a red shirt is curled up on pavement outdoors .,رجل يرتدي قميصًا أحمر ملعب على الرصيف في الهواء الطلق.
A man in a red sleeveless shirt curled up in front of a door .,رجل في قميص بلا أكمام أحمر كرة لولبية أمام الباب.
A man in red lays on the sidewalk next to a red brick building .,رجل يرتدي الأحمر يضع على الرصيف بجوار مبنى من الطوب الأحمر.
a man sleeping on the street,رجل ينام في الشارع
A ragged man sleeping behind a building .,رجل خشن ينام خلف المبنى.
A man climbing an icy glacier with the assistance of a pick .,رجل يتسلق نهر جليدي بمساعدة اختيار.
A man donning an orange helmet is climbing up a white glacier .,رجل يرتدي خوذة برتقالية يتسلق جليديًا أبيض.
A man is chiseling into ice .,رجل يزول في الجليد.
A mountain climber wearing an orange helmet swings his Axe .,متسلق جبلي يرتدي خوذة برتقالية يتأرجح فأسه.
An ice climber wearing an orange helmet is hacking the ice with his ice pick .,متسلق الجليد يرتدي خوذة برتقالية يخترق الجليد باختياره الجليدي.
A boy hitting a girl on a skateboard with a plushie snake .,صبي يضرب فتاة على لوح التزلج مع ثعبان أفخم.
A little girl riding a skateboard while a boy swings a toy at her .,فتاة صغيرة تركب لوح التزلج بينما يتأرجح صبي لعبة عليها.
A young boy and a girl on a skateboard have fun in a parking lot .,صبي صغير وفتاة على لوح التزلج يستمتعون في موقف للسيارات.
A young boy is draping a toy over a young girl on a skateboard .,صبي صغير يلف لعبة على فتاة صغيرة على لوح التزلج.
A young girl with a flower on her shirt rides a skateboard while a young boy wraps something around her .,فتاة صغيرة مع زهرة على قميصها يركب لوح التزلج بينما يلف صبي صغير شيئًا من حولها.
"""A man in a hoodie is looking at a pad of paper , outside a window .""","""رجل في هوديي ينظر إلى لوحة من الورق ، خارج نافذة."""
A man is standing beside a grip stand writing on a note pad .,يقف رجل بجانب موقف قبضة يكتب على لوحة ملاحظات.
A man wearing a blue sweatshirt stands outside and writes in a notebook .,يقف رجل يرتدي قميصًا أزرقًا في الخارج ويكتب في دفتر ملاحظات.
A man wearing glasses is drawing .,رجل يرتدي النظارات يرسم.
A man writing something down behind a bush .,رجل يكتب شيئًا خلف شجيرة.
A man rides a unicycle .,رجل يركب دراجة واحدة.
A man rides on a unicycle down the sidewalk .,رجل يركب على دراجة واحدة على الرصيف.
a man wearing black rides a unicycle .,رجل يرتدي ركوب سوداء دراجة أحادية العجلة.
A young man rides a unicycle down a sidewalk .,شاب يركب دراجة أحادية العجلة أسفل الرصيف.
Teenage boy is riding a unicycle through a grassy park .,الصبي في سن المراهقة يركب دراجة أحادية العجلة عبر حديقة عشبية.
a lady wearing a black dress carrying a white cross,سيدة ترتدي فستانًا أسود يحمل صليبًا أبيض
A lady with a cowboy hat and holding a cross looking at some men on a bench .,سيدة مع قبعة رعاة البقر وعقد صليب ينظر إلى بعض الرجال على مقعد.
A woman in the park is talking to a few men,امرأة في الحديقة تتحدث إلى عدد قليل من الرجال
"""A woman stands , in a black dress pulling a cart , in front of two men seated on a park bench .""","""تقف امرأة ، في ثوب أسود يسحب عربة ، أمام رجلين جالسين على مقعد الحديقة."""
A woman wearing a cowboy hat and carrying luggage .,امرأة ترتدي قبعة رعاة البقر وتحمل الأمتعة.
A black and brown furry dog is running in the grass .,كلب فروي أسود وبني يركض في العشب.
a brown and black dog running through a grassy field,كلب بني وسوداء يمر عبر حقل عشبي
A large dog frolics in the grass .,الكلب الكبير frolics في العشب.
A long haired black and brown dog runs through the grass .,كلب أسود وبني طويل الشعر يمر عبر العشب.
Black dog running on green grass with mouth open .,الكلب الأسود يركض على العشب الأخضر مع فتح الفم.
A dog running down a snow covered hill,كلب يركض على تل مغطى بالثلوج
A dog running through snow .,كلب يمر عبر الثلج.
A golden dog bounds across the snow-covered hill .,حدود كلب ذهبي عبر التل المغطى بالثلوج.
a white dog is running through the snow .,كلب أبيض يركض عبر الثلج.
A white dog running through the snow,كلب أبيض يمر عبر الثلج
A group of kids is splashing in deep water nearby a rock formation .,مجموعة من الأطفال تنطلق في المياه العميقة بالقرب من تشكيل الصخور.
Kids play in the water,يلعب الأطفال في الماء
many children play in the water .,العديد من الأطفال يلعبون في الماء.
Six kids splash in water,ستة أطفال رش في الماء
Six shirtless children are playing in natural water and splashing around .,ستة أطفال بلا قميص يلعبون في المياه الطبيعية ويتجولون.
A blond child jumping rope on a sidewalk .,طفل أشقر يقفز الحبل على الرصيف.
A girl jumping rope on a sidewalk near a parking garage .,فتاة تقفز على الرصيف بالقرب من مرآب للسيارات.
A girl jumping rope on a sidewalk with a parking garage to the left .,فتاة تقفز على الرصيف مع مرآب للسيارات على اليسار.
A girl jumps rope on a sidewalk .,فتاة تقفز حبل على الرصيف.
A small girl jumping rope .,فتاة صغيرة تقفز الحبل.
A brown dog is up to its knees in snow .,الكلب البني يصل إلى ركبتيه في الثلج.
A brown dog plays in the snow .,كلب بني يلعب في الثلج.
A dog plays in the snow .,يلعب كلب في الثلج.
A grey dog with a bobbed tail digs in snow .,كلب رمادي مع ذيل حفر في الثلج.
A large gray dog is playing in the deep snow .,كلب رمادي كبير يلعب في الثلج العميق.
"""A brown , black and white dog is on a obstacle course .""","""الكلب البني والأسود والأبيض في مسار عقبة."""
A dog climbs down a black ramp,كلب يتسلق أسفل منحدر أسود
A dog is running down a black and yellow ramp in an obstacle course .,يركض الكلب أسفل منحدر أسود وأصفر في مسار عقبة.
A dog walks down a black ramp .,كلب يمشي أسفل منحدر أسود.
The black and white dog ran down the ramp .,ركض الكلب الأسود والأبيض أسفل الطريق المنحدر.
A man with an Afro is skating on a vert ramp,رجل ذو أفرو يتزلج على منحدر فير
a skateboarder doing a trick on a ramp,لوح التزلج يقوم بخدعة على منحدر
A skateboard rides up the ramp and does a trick in midair .,لوح التزلج يركب المنحدر ويقوم بخدعة في الجو.
The skateboarder is performing a trick off a ramp .,يقوم لوح التزلج بإجراء خدعة من منحدر.
The skateboarder launches off a quarter pipe .,تطلق Skateboarder من أنبوب ربع.
"""A man in swim trunks hits a ball with a paddle , while on the beach .""","""رجل في جذوع السباحة يضرب كرة مع مجداف ، بينما على الشاطئ."""
A man is batting a ball on the beach beside the ocean .,رجل يضرب كرة على الشاطئ بجانب المحيط.
a muscular man in swim trunks plays paddle ball on the beach,رجل عضلي في جذوع السباحة يلعب كرة مجداف على الشاطئ
Man in a bathing suit holding a paddle on the beach,رجل يرتدي بدلة استحمام يحمل مجدافًا على الشاطئ
The man is standing on the shore hitting a ball with a paddle .,يقف الرجل على الشاطئ وهو يضرب كرة مع مجداف.
A man in an orange shirt and a blue hardhat smiles .,رجل في قميص برتقالي وابتسام هاردهات الأزرق.
A man smiling with a helmet on his head .,رجل يبتسم بخوذة على رأسه.
A man wearing a helmet and sunglasses smiles .,رجل يرتدي خوذة ونظارات شمسية يبتسم.
A man wearing an orange shirt and helmet .,رجل يرتدي قميصا برتقاليا وخوذة.
A man with a blue helmet and orange shirt .,رجل مع خوذة زرقاء وقميص برتقالي.
A man in a grey suit kneels in front of a woman in a white dress .,رجل يرتدي بدلة رمادية يركع أمام امرأة في ثوب أبيض.
A man is removing a garter for a lady .,رجل يزيل سربا لسيدة.
A man putting a garter on a woman .,رجل يضع ساربين على امرأة.
a woman sitting in a chair while a man is removing her garter belt,امرأة جالسة على كرسي بينما تقوم رجل بإزالة حزام الرباط
Man removing garter during wedding,رجل يزيل الرباط أثناء الزفاف
a boy and a woman walk into the ocean .,صبي وامرأة يمشون في المحيط.
A toppless woman holds hr naked child 's hand while they stand in the ocean waves .,امرأة مضطربة تحمل يد الطفل العاري أثناء قفها في موجات المحيط.
A woman and a naked child wade into the ocean .,امرأة وطفل عاري يتجول في المحيط.
A woman holds a baby 's hand and walks in the water .,امرأة تحمل يد الطفل وتمشي في الماء.
A woman in bikini bottoms stands in the surf holding the hand of a naked baby .,تقف امرأة في قيعان البيكيني في الأمواج التي تمسك بيد طفل عاري.
A group of sled dogs in harness is standing together in the snow .,مجموعة من الكلاب المزلجة في تسخير تقف معا في الثلج.
Four dogs playing in the snow .,أربعة كلاب تلعب في الثلج.
Four snow dogs are pulled together in the snow .,يتم سحب أربعة كلاب الثلج معا في الثلج.
"""Pack of sled dogs in the snow , one barking .""","""حزمة من الكلاب المزلجة في الثلج ، نباح واحد."""
Several dogs grouped together in a winter setting .,العديد من الكلاب مجمعة معًا في مكان الشتاء.
a black and brown dog staring off into the distance at something,كلب أسود وبني يحدق في المسافة في شيء ما
"""A black , brown , and tan dog jumps at the camera .""","""يقفز كلب أسود وبني وتان إلى الكاميرا."""
A brown dog running through tall grass .,كلب بني يمر عبر العشب طويل القامة.
Dog in plants crouches to look at camera .,الكلب في النباتات يرجل للنظر في الكاميرا.
The black and white dog is running through the bushes .,الكلب الأسود والأبيض يركض من خلال الشجيرات.
A man climbing a rock face,رجل يتسلق وجه صخري
A man climbs up a rock .,رجل يصعد صخرة.
A man wearing a blue helmet is rock climbing .,رجل يرتدي خوذة زرقاء هو تسلق الصخور.
A rock climber scaling a stone wall .,متسلق الصخور تحجيم جدار حجري.
The man climbing the rock is wearing a blue helmet .,الرجل الذي يتسلق الصخرة يرتدي خوذة زرقاء.
Children are playing on a trampoline in the snow .,الأطفال يلعبون على الترامبولين في الثلج.
Children jumping on a trampoline .,الأطفال يقفزون على الترامبولين.
Five children jump on a large trampoline while the snow outside melts .,يقفز خمسة أطفال على الترامبولين الكبير بينما يذوب الثلج خارج.
"""Four children on a trampoline , in a snow covered area .""","""أربعة أطفال على الترامبولين ، في منطقة مغطاة بالثلوج."""
Several children and jumping on a trampoline in the snow .,العديد من الأطفال والقفز على الترامبولين في الثلج.
A big black dog bares its teeth while running through the snow .,كلب أسود كبير يمنع أسنانه أثناء الركض عبر الثلج.
A black dog is running through the snow .,الكلب الأسود يركض عبر الثلج.
A black dog is running through the snow .,الكلب الأسود يركض عبر الثلج.
A black dog with his mouth open and tongue out runs across an expanse of snow .,كلب أسود مع فمه مفتوح واللسان خارج يركض عبر مساحة من الثلج.
Black dog runs through snow .,الكلب الأسود يمر عبر الثلج.
A dog attacking a guy .,كلب يهاجم الرجل.
